Source Name               Right Asc.           Declination
1658+052 ................ 16.975957 .......... 5.254568 
1658+076 ................ 16.969170 .......... 7.690984 
1658+476 ................ 16.967439 .......... 47.630333 
1712-281 ................ 17.215835 .......... -28.159182 
1719+177 ................ 17.320291 .......... 17.751789 
1733-130 ................ 17.550752 .......... -13.080429 
1733-130 ................ 17.550752 .......... -13.080430 
1733-130 ................ 17.550752 .......... -13.080430 
1740+521 ................ 17.676938 .......... 52.195391 
1743-038 ................ 17.733016 .......... -3.834615 
1744-312 ................ 17.739884 .......... -31.276659 
1745+173 ................ 17.759780 .......... 17.333729 
1748+700 ................ 17.809122 .......... 70.097435 
1751+096 ................ 17.859116 .......... 9.650202 
1800+784 ................ 18.012690 .......... 78.467782 
1801+440 ................ 18.025641 .......... 44.072735 
1806+698 ................ 18.114078 .......... 69.824474 
1822-096 ................ 18.374640 .......... -9.649121 
1824+568 ................ 18.401964 .......... 56.850415 
1829+487 ................ 18.492150 .......... 48.746381 
1829+487 ................ 18.492162 .......... 48.746156 
1830+063 ................ 18.501650 .......... 6.321095 
1833-210 ................ 18.561087 .......... -21.061125 
1842+797 ................ 18.702497 .......... 79.771424 
1849+670 ................ 18.821131 .......... 67.094916 
188.95+0.89 ............. 6.148261 ........... 21.641583 
1902+319 ................ 19.048872 .......... 31.994908 
1911-201 ................ 19.186015 .......... -20.115308 
1924-292 ................ 19.414182 .......... -29.241700 
1924-292 ................ 19.414182 .......... -29.241700 
1925+211 ................ 19.433224 .......... 21.107267 
1927+739 ................ 19.463471 .......... 73.967103 
1939-154 ................ 19.657405 .......... -15.428627 
1941-154 ................ 19.687508 .......... -15.408697 
1955+515 ................ 19.928539 .......... 51.530152 
1957-387 ................ 19.966618 .......... -38.751689 
2000-178 ................ 20.015859 .......... -17.816019 
2005+778 ................ 20.091944 .......... 77.878681 
2007+404 ................ 20.129151 .......... 40.496836 
2011-157 ................ 20.187697 .......... -15.777848 
2013+370 ................ 20.257975 .......... 37.183247 
2015+372 ................ 20.257986 .......... 37.183367 
2022+616 ................ 20.368523 .......... 61.616335 
2023+318 ................ 20.388616 .......... 31.883974 
2023+544 ................ 20.398843 .......... 54.459941 
2025+032 ................ 20.419341 .......... 3.279006 
2025+337 ................ 20.419676 .......... 33.716718 
2038+513 ................ 20.643621 .......... 51.320184 
2038+513 ................ 20.643621 .......... 51.320184 
2038+513 ................ 20.643621 .......... 51.320185 
2046+4000 ............... 20.460000 .......... 40.000000 
2052+365 ................ 20.881126 .......... 36.593139 
2101+036 ................ 21.027454 .......... 3.692024 
2107+422 ................ 21.117109 .......... 42.236163 
2109-411 ................ 21.159218 .......... -41.172353 
2123+055 ................ 21.395699 .......... 5.589471 
2130+050 ................ 21.509133 .......... 5.038187 
2131-121 ................ 21.526462 .......... -12.117998 
2134-018 ................ 21.569531 .......... -1.888121 
2136+006 ................ 21.610718 .......... 0.698393 
2140+2507 ............... 21.400000 .......... 25.070000 
2148+069 ................ 21.801516 .......... 6.960724 
2158-150 ................ 21.968412 .......... -15.019257 
2202+422 ................ 22.045359 .......... 42.277772 
2202+422 ................ 22.045359 .......... 42.277773 
2203+317 ................ 22.054160 .......... 31.760631 
2206-185 ................ 22.102893 .......... -18.594101 
2206-185 ................ 22.102894 .......... -18.594096 
